Statement,Disease
এই রোগে মাছের শরীরের ভিতরের পর্দাটা ফাইটা যায়। এইজন্যই পেটের ভিতরে এত পানি জমে।,Streptococcosis
"কানশার রঙটা হইছে ঠিক বর্ষার ঘোলা পানির মতো, আর মাছগুলান সব কিনারায় আইসে রইছে।",Gill Rot
মাছের চোখের উপ্রে সাদা পরদা পইড়া গেছে। এইজন্যে মাছটা আর কিছু দেখতে পায় না মনে হয়।,Saprolegniasis
"আমার চিতল মাছটার কানশার উপরটা ফুসকুড়ির মতো ফুলছে, আর মাছটা খালি গা ঘষতেছে।",Gill Rot
"চোখ আর পেট দুইটাই ফুলছে, দেইখা মনে হয় মাছটার ভিতরে বাতাস ভরা।",Dropsy
"পুকুরে কেমন একটা পচা গন্ধ, মাছ মইরা ভাইসা উঠছে। সবগুলার গায়েই সাদা সাদা দাগ।",White Spot Disease
"মাছটা বাঁচার জন্য শেষ চেষ্টা করতেছে, কিন্তু পচা ফুলকা দিয়া আর শ্বাস নিতে পারতেছে না।",Gill Rot
মাছগুলা খালি গা চুলকাইতেসে শক্ত জিনিসের সাথে। ভালো কইরা চাইয়া দেখি পিঠে ছোট ছোট সাদা দাগ।,White Spot Disease
"মাছগুলা কেমন জানি ঘোরের মধ্যে থাকে, সোজা সাঁতরাইতে পারে না। মাথার অসুখটা ফুলকা থাইকা শুরু হইছে।",Myxoboliasis
মাছগুলার পাখনাগুলা ছিঁড়া ছিঁড়া যাইতেছে। এই রোগ তো দেখি কিছুই বাকি রাখতেছে না।,Myxoboliasis
মাছের চোখটা ফুইলা এমন হইছে যে মনে হয় চোখের মণিটা ছিঁড়া বাইর হইয়া আসব। দেখলেই ভয় লাগে।,Pop Eye
"এই মাছটা আর পানিও খায় না, খালি মুখটা ভাসায়া রাখে।",Dropsy
চোখ ফুইলা মাছটার মাথাটা কেমন জানি ভারী হইয়া গেছে। তাই খালি নিচের দিকে ঝুইলা থাকে।,Pop Eye
চোখ ফুইলা মাছটার মাথাটা কেমন জানি ভারী হইয়া গেছে। তাই খালি একদিকে কাত হইয়া সাঁতরায়।,Pop Eye
এই রোগটা কি শুধু এক পুকুরেই সীমাবদ্ধ থাকে? নাকি আশপাশের সব পুকুরেই ছড়াইয়া পড়ে?,White Spot Disease
মাছগুলার গায়ের চামড়া এত পাতলা হইছে যে ভিতরের কাঁটা দেখা যায়। কানকোর অসুখটাই মাছের সব রক্ত চুইষা নিতাছে।,Myxoboliasis
"এই রোগের লাইগা মাছের পেটে কিছু হজম হইতেছে না। যা খায়, সব বাইর হইয়া যায়।",White Spot Disease
মাছটার চোখ দুইডা এত বাইরে যে মাথাটাই অন্যরকম লাগে।,Dropsy
এই রোগ ধরা মাছগুলারে পুকুর থাইকা তুইলা ফালাইতে হইব। নাইলে সব মাছ শেষ হইয়া যাইব।,Myxoboliasis
"শিং মাছগুলার গায়ে ছোট ছোট ফুসকুড়ি, টিপ দিলে রক্ত বাইর হয়। মাছগুলা কেমন জানি নিস্তেজ হইয়া এক জায়গায় পইড়া আছে।",Hemorrhagic Septicemia
"ফুলকাগুলা দেখতে শুকনা পাতার মতো হইয়া গেছে, মাছের শরীরে কোনো জোর নাই।",Gill Rot
"পুকুরের পানি একদম পরিষ্কার, কিন্তু মাছগুলা খালি ঘুরপাক খায়। মনে হয় মাথার ভিতরেই রোগটা বাসা বাঁধছে।",Streptococcosis
"শিং মাছের গোঁফ দুইডা ক্ষয় হয়া অর্ধেক হয়া গ্যাছে, দেখতেই কেমন অদ্ভুত লাগে।",Fin and Tail Rot
"মাছটা ঠায় পড়ে থাকে, নড়ে না। চোখের পাশে কিছু সাদা দানা, ফিনও ঠিকঠাক কাজ করতেছে না।",Argulosis
আমার সব মাছের পাখনাগুলা কেমন জানি শক্ত হইয়া যাইতেছে আর বাঁকা হইয়া যাইতেছে।,Fin and Tail Rot
কানশার ভিতরে সব এমনভাবে জট পাকাইছে যে মাছটার মুখটাই বাঁকা হইয়ে গেছে।,Gill Rot
এই রোগটা হইলে মাছের আর কোনো সৌন্দর্য থাকে না। দেইখা মনে হয় একটা পচা জিনিস।,Saprolegniasis
"সারাদিন মাছগুলান ঝিমাইলো, এহন রাইতে দেখি পানির উপ্রে ভাইসে ভাইসে ঘুরতেছে।",Gill Rot
মাছটার পেট এমনভাবে ফুলছে যে গায়ের চামড়া ফাইটা যাইব মনে হয়।,Dropsy
"আমার শিং মাছটারও পেট ফুলছে, এহন আর কাদার মইধ্যেও লুকাইতে পারে না।",Dropsy
"চোখ দুইডা এত বাইরে যে মনে হচ্চে কাঁচের গুলি লাইগা আছে, দেখতেই ভয় লাগে।",Dropsy
মাথার উপরেও ছোট ছোট লাল ফোঁটা দেখা যাইতেছে। মাছটা কেমন জানি ঘোরে খালি।,Hemorrhagic Septicemia
"এই লাল দাগঅলা মাছ না জাইনা খাইছিলাম, অহন ঘরের সবার শরীরে চুলকানি। আর জীবনেও এই মাছ খামু না।",Red Spot Disease
"মাছটা কেমন জানি বেহুঁশ হইয়ে ঘুরতেছে, কানকোর উপরে তুলার মতো কি জানি হইছে।",Gill Rot
এই চোখ ফোলা রোগটা কি শুধু কেনা মাছের হয়? আমার পুকুরের দেশি মাছের তো কিছু হয় নাই।,Pop Eye
এই চোখ ফোলা রোগটা কি শুধু মাদি মাছের হয়? আমার তো খালি মাদি মাছগুলারই এই দশা হইছে।,Pop Eye
মাছের পাতলা চামড়ার ভিতর দিয়া দেখা যায় রক্ত জইমা আছে। শরীরটাও কেমন জানি নরম হইয়া গেছে।,Hemorrhagic Septicemia
আমার তেলাপিয়া মাছগুলার বুকের পাখনার কিনারগুলা সব সাদা হইয়া গেছে।,Fin and Tail Rot
"কি যে হইলো, ঘেরের সব মাছের পাখনাই দেহি ঝইরা পড়তেছে।",Fin and Tail Rot
"পেটটা ফুলি মাছটার চলার গতি একদম কইমা গ্যাছে, আস্তে আস্তে চলে।",Dropsy
"চোখের পাশেও দাগ হইছে, মাছটা চোখ ঠিকমতো খুইলা রাখতে পারতেছে না। পানিতেও ঠিকমতো চলতেছে না।",White Spot Disease
"মাছের লেজটা খইয়া এমন হইছে যে, আর নাড়ানোই যায় না। আর গোড়ায় তো সাদা ছত্রাক আছেই।",Saprolegniasis
"চ্যাপ্টা পোকাগুলা এমনভাবে বসে, মাছ মইরাও যায় না সহজে।",Argulosis
মাছের গায়ে লাল দাগের সাথে সাথে শরীরটাও কেমন জানি ধনুকের মতো বাঁকা হইয়া যাইতাছে। মাছটা আর সোজা হইতে পারে না।,Hemorrhagic Septicemia
"এই দুনিয়াতে খালি মানুষই কষ্ট পায় না, এই বোবা জীবগুলার গায়ে উকুন লাইগে যে কষ্ট, সেইটা কেউ দেখে না।",Argulosis
"কাতলা মাছটার একটা চোখ বাইর হইয়া আইছে, আর অন্যটা ঠিক আছে। দেখতে কেমন জানি অদ্ভুত লাগে।",Pop Eye
মাছগুলার লেজের পাখনার গোড়াও পইচা যাইতেছে। শুরুটা হইছিল কানকোর সাদা গুটি থাইকা।,Myxoboliasis
"কানশার ভিতরে দেখি কালচে ছোপ ছোপ দাগ, মাছগুলা আর খাবার খাচ্চে না।",Gill Rot
এই চোখ ফোলা রোগটা কি শুধু এক জাতের মাছেই হয়? আমার তো খালি কাতলাগুলারই এই দশা।,Pop Eye
"পাইকাররা এখন মাছ কেনার আগে এক এক কইরা পাখনা টাইনা দেখে, একটু নরম হইলেই আর নেয় না।",Fin and Tail Rot
মাছগুলার পেট এতই ফুলে যে চামড়া ফাইটা যাইবার দশা। আর চোখ দুইটা তো ঠিকরাইয়া বাইর হইয়া আছে।,Hemorrhagic Septicemia
"আঁশগুলা সব খাড়া, শরীরটা দেইখা মনে হয় একটা ছোট কাঁঠাল।",Dropsy
এই রোগ হইলে মাছের আর কোনো রঙচঙ থাকে না। একদম ফ্যাকাশে সাদা হইয়া যায়।,Saprolegniasis
এই মাছের চোখটা এমনভাবে বাইর হইয়া আইছে যে মনে হয় চোখের মণিটা নাই। মাছটা পুরাই অন্ধ হইয়া গেছে।,Pop Eye
"মাছের মুখে চুপচাপ ভাব, খায় না কিছু। গায়ে দানা দেখা যায় কাছ গিয়া।",White Spot Disease
"চোখে ধরা পড়ে না ঠিকমতো, খালি দেহে দানা উঠছে। পানিতেও একদম চুপচাপ।",White Spot Disease
"মাছগুলার গায়ে হাত দিলে মনে হয় জ্বর আইছে, শরীরটা গরম। আবার কিছুক্ষণ পরেই ঠান্ডা হইয়া যায়।",Streptococcosis
"কানশার ভিতরটা দেইখা মনে হইতেছে কেউ ঘইষা দিছে, সব ঘা হইয়া গেছে।",Gill Rot
"লেজটা গোড়া থাইকা খইসা পড়তাছে, মাংস বাইর হইয়া গেছে। ঐ জায়গাটা পুরাই লাল হইয়া আছে।",Hemorrhagic Septicemia
"ফুলকাগুলার রঙ আর লাল নাই, একদম ছাইয়ের মতো সাদা হইয়া গ্যাছে।",Gill Rot
মাছটার পেটটা এমন ফোলা যে ও আর ঠিকমতো সাঁতরাইতেও পারে না।,Dropsy
"যে পানিতে এত রোগ, সেই পানিতে নামতেও এখন ভয় লাগে, যদি নিজের গায়েও ঘা-পাঁচড়া হয়।",Epizootic Ulcerative Syndrome
"চোখের পাশেও দাগ হইসে, মাছটা চোখ ঠিকমতো খুইলা রাখতে পারতেছে না। পানিতেও ঠিকমতো চলতেছে না।",White Spot Disease
"আমার যে ছেলেটা মাছ ধরতে এত ভালোবাসতো, সেও এখন আর ঘা ওয়ালা মাছ দেখলে হাত দেয় না।",Epizootic Ulcerative Syndrome
"আমার মনে হয়, এই ঘায়ের কারণে মাছগুলা চোখেও কম দেখে, তাই খাবার খুঁজে পায় না।",Epizootic Ulcerative Syndrome
মাছের আঁশগুলা খাড়া খাড়া হইয়া রইছে আর চামড়ার নিচে রক্ত দেখা যায়। মাছটা সোজা হইয়া ভাসতেও পারে না।,Hemorrhagic Septicemia
মাছটারে তুলতেই একটা পোকার মাথা বের হয়ে আসে গর্ত থাইকা। হালকা টান দিতেই রক্ত।,Argulosis
পাখনাটা পইচা এমন হইসে যে হাত দিলেই গুড়া গুড়া হইয়া পানির সাথে মিশে যায়।,Fin and Tail Rot
গায়ে পোকা ধরছে এত বেশি যে মাছ লাফ দিতে পারে না।,Argulosis
"আমার ঘেরের সব মাছের কানকো ফ্যাকাশে, মনে হয় রক্তশূন্য। আর পেটের তলে লাল ছোপ।",Hemorrhagic Septicemia
এই পোকাগুলা মাছের শরীরে চুষে চুষে রক্ত নিংড়ায়া ফেলতেছে।,Argulosis
মাছগুলার পাখনার গোড়াটা লাল হইয়া পইচা যাইতেছে। এই রোগ তো দেখি মাছের সব সৌন্দর্যই কাইড়া নিতাছে।,Streptococcosis
মাথার পাশে চাকা চাকা সাদা দানা হইছে। মাছটারে কষ্টে মনে হইতেছে।,White Spot Disease
এই রোগটা একবার হইলে পুকুরের পানিও বিষাক্ত হইয়া যায়। ওই পানিতে নতুন মাছ ছাড়লেও রোগ হয়।,Streptococcosis
"মাছটা খাওয়া ছেড়ে দিছে, মুখে কেমন শুকনা ভাব। মুখের পাশেই লেগে আছে কয়টা ছোট উকুন।",Argulosis
"এই মাছগুলার শরীর ফ্যাকাশে হইয়া গ্যাছে, মনে হয় রক্তশূন্য।",Gill Rot
"এই উকুনগুলা দিনের বেলা একটু কম দেখা যায়, কিন্তু রাইত হইলেই মাছের গায়ে গিজগিজ করে।",Argulosis
চোখ দুইডা এমন কইরা বাইর হইছে যে মাছটারে আর দেখতেই ভালো লাগে না।,Dropsy
"ভাই, এইটা কোন ধরণের রাক্ষুসে রোগ? ভালো একটা জ্যান্ত মাছ রাতারাতি শরীরে গর্ত নিয়া ভাইসা উঠতেসে।",Epizootic Ulcerative Syndrome
"আমার শখের কই মাছগুলার পাখনা সব লাল হইয়া ছিঁড়া যাইতাছে। মাছগুলা আর আগের মতো খেলে না, ঝিমায়।",Hemorrhagic Septicemia
"এই রোগ হইলে মাছের গায়ে আর জোর থাকে না, হাত দিলেই মরা মরা লাগে। মাছটা আর বাঁচার আশা নাই।",Red Spot Disease
মাছের চোখটা ফুইলা এমন ঘোলা হইছে যে মনে হয় আর কোনোদিনও আলো দেখব না। মাছটা পুরাই অন্ধ হইয়া যাইব।,Pop Eye
পুকুরের সব পেট ফোলা মাছ দেখি এক কিনারে আইসা রইছে।,Dropsy
"আমার কপালটাই মনে হয় এই উকুনগুলার মতো চ্যাপ্টা, কোনোদিকেই আর উঠার পথ পাইতেছি না।",Argulosis
"কালকেও দেখলাম কানশাটা খালি একটু ফোলা ছিলো, আজকে দেখি ওইখান দিয়া রক্ত বাইরোচ্চে।",Gill Rot
"এই মাছগুলার দিকে তাকাইলে আর নিজেরই বাঁচতে ইচ্ছা করে না। চোখ বাইর হওয়া, শরীর কালা, আর খালি মরণের ছটফটানি।",Streptococcosis
লেজের গোড়াটা পইচা লাল হইয়া যাইতেছে। মাছটা আর লেজ নাড়াইতে পারে না।,Red Spot Disease
পাঙ্গাস মাছের চামড়ার নিচে এমনভাবে রক্ত জমছে যে মাছটাই কালা হইয়া গেছে। সাদা পাঙ্গাস আর নাই।,Hemorrhagic Septicemia
"মাছগুলা কেমন জানি আতঙ্কিত হইয়া থাকে, ছায়ার দিকেও দৌড় দেয়। মনে হয় রোগের কারণে মাছের মাথা খারাপ হইয়া গেছে।",Streptococcosis
"মাছটা আর খাবার দেখলেও আসে না, কানকোর ব্যথায় মনে হয় কিছুই খাইতে পারতেছে না।",Gill Rot
শিং মাছের গায়ে রক্তের মতো লাল দাগ দেখা দিতাছে। মাছগুলা কেমন জানি কাহিল হইয়া গেছে।,Hemorrhagic Septicemia
শিং মাছটার শিং-এর গোড়ায় যেন কেউ তুলার আঁশ জড়াই দিছে। মাছটা খালি কেমন জানি করে।,Saprolegniasis
এই লাল ঘায়ের মাছগুলারে তো কুত্তাও খাইতে চায় না। এগুলান লইয়া আমি কোন গাঙে ভাসামু?,Red Spot Disease
চিতল মাছটার মাথা থাইকা লেজ পর্যন্ত সাদা দাগে ছাইয়া গেছে। দেইখা মনে অয় কেউ চুনকাম কইরা দিছে।,White Spot Disease
"কানশার ঢাকনাটা কেমন জানি নরম হইয়া গেছে, আর ভিতরটা পুরাই গইলা যাইতেছে।",Gill Rot
পিঠের ওপর একরাশ পিচ্ছিল পোকা দেখা গেল। দাগের মাঝে মাঝে রস উঠতেছে।,Argulosis
"পিঠে দাগ আর দাগ, মাঝখানে বসা উকুন।",Argulosis
"মাছগুলা আর আগের মতো চঞ্চল নাই, কেমন শান্তশিষ্ট হইয়া গেছে। ভালো কইরা খেয়াল কইরা দেহি, গায়ে সাদা ফুটকি ফুটকি দাগ।",White Spot Disease
মাছের গায়ে যেন জবা ফুল বাইটা লাগাইছে। দেখতেও কেমন জানি অশুভ লাগে।,Red Spot Disease
"এই পোকা খালি মাছের রক্ত খায় না, মাছের মনের শান্তিটাও খাইয়ে ফেলে।",Argulosis
মাছগুলার মুখের ভিতরে আর জিহ্বায় ছোট ছোট ঘা হইছে। এইজন্যই মাছগুলা খাবার গিলতে পারে না।,Streptococcosis
মাসর কানর ভিতরে গাল-ফুয়া কালা অই গেইয়ে।,Gill Rot
মাছটা ঘায়ের কারণে এমন দুর্বল হইয়া যায় যে অন্য ছোট মাছেরাও ওরে ঠোকরাইয়া খায়।,Epizootic Ulcerative Syndrome
"এই ছত্রাকটা মাছের গায়ে এমনভাবে ছড়াইছে, যেন একটা সাদা সমুদ্র। এই সমুদ্রেই মাছটা ডুইবা মরে।",Saprolegniasis
এই রোগে মাছের জীবনীশক্তি একদম কইমা যায়। শরীরটা ফ্যাকাশে হইয়া যায় আর খালি পাখনাগুলা লাল থাকে।,Hemorrhagic Septicemia
"এইবার মনে হয় পুরা ঘেরটাই শেষ হইয়া যাইব। সব মাছের একই অবস্থা, পেট ফুলা আর গায়ে রক্তের দাগ।",Hemorrhagic Septicemia
"কি এক রোগ আইল, মাছের গতর খসখসা হইয়া গেছে, হাত দিলেই বোঝা যায়।",White Spot Disease
"যে মাছটার লেজ নাই, সেইটা আর ঠিকমতো খাইতে পারে না, তাই ওর পেটটাও কেমন জানি শুকনা।",Fin and Tail Rot
এই লাল দাগগুলা দিন দিন কালা হইয়া যাইতেছে। মনে হয় ঘা পইচা যাইতেছে।,Red Spot Disease
"এই মাছগুলা আগে কি সুন্দর ঝাঁক বাইন্ধা সাঁতরাইতো, অহন পাখনা না থাকায় যে যার মত একা একা ঘোরে।",Fin and Tail Rot
"মাছের গায়ে এমন লাল দাগ, দেইখা মনে হয় যেন কেউ লাল রঙের প্রদীপ জ্বালাই দিছে।",Red Spot Disease
মাছের গায়ে কি কোনো কারখানার বিষ লাগছে? চামড়াটা কেমন জ্বইলা যাওয়ার মতো হইছে।,Red Spot Disease
"পাখনাটা পইচা এমন হইসে যে ঐখানে আর কোনো শিরার দাগও নাই, সব এক হইয়া গেছে।",Fin and Tail Rot
আমার এত বছরের মাছ চাষের অভিজ্ঞতায় এমন কানশা পচা রোগ আর দেখি নাই।,Gill Rot
"মাছগুলান কেমন জানি করে, খালি পানির উপ্রে আইসা মুখ বাইর করে।",Gill Rot
"পেটটা ফুলি একদম টইটুম্বুর, মনে হয় ধরলেই পানি বাইর হইব।",Dropsy
সবগুলা পাখনার গোড়ায় রক্ত জইমা রইছে। মাছটা আর পাখনা নাড়াইতে পারতেছে না।,Hemorrhagic Septicemia
গায়ে কামড়ের গর্ত এমনভাবে বসে আছে যে চামড়া ছিঁড়ে উঠতেছে। রক্ত জমে গা কালচে হইছে।,Argulosis
"লেজে লাল লাল গর্ত আর ফোসকা দাগ, গা যেন জ্বালায় পুড়তেছে। পেটের নিচে হাত দিলেই পিচ্ছিল পোকা ধরা যায়।",Argulosis
মোগো ঘেরের তেলাপিয়াগুলার গায়ে লাল ফুসকুড়ির মতো উঠছে। মাছগুলা সব মইরা ভাইসা উঠতাছে।,Hemorrhagic Septicemia
"মাছগুলা কেমন জানি ভীতু হইয়া গেছে, জালের শব্দ পাইলেই লুকানোর জন্য দৌড়াদৌড়ি করে। আবার হঠাৎ কইরা স্থির হইয়া যায়।",Streptococcosis
"মাছটা এমনভাবে আমার দিকে তাকাইলো, যেন কইতেছে 'তুমিই তো আমারে এইখানে আনছিলা, তাইলে আমার এই দশা ক্যান?'",Argulosis
"মাছগুলার চোখ দুইটা শুধু ফুলাই নাই, কেমন জানি ঘোলাও হইয়া গেছে। দেইখা মনে হয় চোখের ভিতরে পর্দা পইড়া গেছে।",Streptococcosis
"খাবার দিলে খালি চায়া থাকে, মুখে নেয় না। মাছটা দিন দিন শুকাইয়া যাইতেছে।",White Spot Disease
"এই মাছগুলার গায়ে কোনো তেল নাই, একদম শুকনা খড়খড়া। রোগের কারণে মাছের সব সতেজতা হারাইয়া গেছে।",Myxoboliasis
বোয়াল মাছটার পেটের দিকটা পুরা লাল হইয়া শক্ত হইয়া গেছে। মাছটা খালি একপাশে কাত হইয়া ভাসে।,Red Spot Disease
"বুঝতিচি না ক্যান মাছগুলা পানির ধারে আইসে মুখ তুলে থাকছে, কানকোতেও দেখি ঘা হইছে।",Gill Rot
"পোনা মাছগুলার কানকো দিয়া খালি রক্ত ঝরতেসে, সবগুলান ফ্যাকাসে হইয়া গেছে।",Gill Rot
"পেট ফুলে আছে আর মুখটা হাঁ করা, মনে হয় দম নিতে পারছে না।",Dropsy
"মাছের শরীরে ঘা হইলে ঐটার আর কোনো দাম থাকে না, মানুষ ঐটারে 'রাক্ষুসে মাছ' কয়।",Epizootic Ulcerative Syndrome
পুকুরের মাছগুলার গায়ে লাল ফুসকুড়ির মত দেখা যাইতেছে। মাছগুলার খাওয়া-দাওয়া অনেক কইমা গেছে।,Red Spot Disease
"মাসর পেটো পানি জমছে, তাই এত মোটা দেখা যায়।",Dropsy
"যে মাছগুলার কানকো পচা, তার আশপাশে অন্য মাছ আর ভিড়তেছে না, কেমন জানি সইরে সইরে যাচ্চে।",Gill Rot
"রুই মাছটার পেটটা এমনভাবে ফুলছে যে মনে হয় ফাইটা যাইব, আর গায়ে লাল চাকা দাগ। মাছটা আর কিছুই মুখে তোলে না।",Hemorrhagic Septicemia
এই রোগটা হইলে মাছের আর কোনো আশা থাকে না। মরণই তার শেষ পরিণতি।,Saprolegniasis
"বিকালবেলা পুকুরপাড়ে বসার যে শান্তিটা ছিলো, মাছের পচা ঘা দেইখা সেইটাও চইলা গেছে।",Epizootic Ulcerative Syndrome
"মাছের গায়ের আঁশ সব খাড়া, পেট মোটা, আর চোখ দুইডা ডাবগা, এইটারে আর বাঁচানো যাইব না মনে হচ্চে।",Dropsy
পুকুরের পাড়ে আইসা মাছগুলা খালি মাথা ঠোকে। মনে অয় গায়ের যন্ত্রণায় পাগল হইয়া গেছে।,White Spot Disease
সিলভার কার্প মাছের সাদা শরীরে লাল রক্তের দাগগুলা দেইখা মনে হয় কেউ খুন কইরা রাইখা গেছে। বাজারে এই মাছের কানাকড়িও দাম নাই।,Red Spot Disease
"যে মাছগুলার লেজ নাই, সেগুলা আর ঝাঁক বাইন্ধা চলে না, একা একা ঘুরে।",Fin and Tail Rot
মাছের গায়ের লাল জায়গাটা টিপ দিলে ভিতর থাইকা পানি বাইর হয়। মনে হয় ভিতরের মাংস সব পইচা পানি হইয়া গেছে।,Red Spot Disease
"ফুলকাগুলা দেখতে একদম ছেঁড়া ন্যাকড়ার মতো লাগতেছে, আর বিশ্রী একটা আঁশটে গন্ধ ছড়াচ্চে।",Gill Rot
"ফুলকাগুলার রঙ কেমন বাদামী হইয়া গ্যাছে, যেন শুকনা পাতা।",Gill Rot
মাছটার পেটটা এত টাইট যে মনে হয় সুই লাগলিই ফাইট্টা যাইব।,Dropsy
"মাছটা কেমন জানি ঘোরের মইধ্যে আছে, সোজা সাঁতরাইতে পারে না। গায়ে চাইয়া দেখি সাদা সাদা ছোপ।",White Spot Disease
মাছটা কেমন জানি কাইত হইয়া চলে। পিঠের উপ্রে বড় একটা লাল চাকা।,Red Spot Disease
"মাছটা তেমন নড়ে না, এক কোণায় পড়ে থাকে ঠায়। শরীরে অনেকটা জায়গা ঘা হয়ে গেছে।",Argulosis
"আমার ছেলেটা আর মাছ খাইতে চায় না, কইলো 'বাবা, এই মাছের গায়েও কি ঐ পোকা আছে'?",Argulosis
পুকুরের পানিতে কেমন একটা পচা ডিমের গন্ধ। এই ছত্রাকঅলা মাছগুলাই সব পানি নষ্ট কইরা দিল।,Saprolegniasis
"কাতলা মাছটার সারা শরীরে লাল ছোপ, দেইখা মনে হয় কেউ গরম তেল ছিটাইয়া দিছে। মাছটা যন্ত্রণায় খালি পাক খায়।",Hemorrhagic Septicemia
আঁশ খাড়া হইয়া যাওয়ায় মাছটার শরীরটা আর আগের মতো চকচক করে না।,Dropsy
"এই পুকুরের পানি এখন এত খারাপ যে ঐটা মুখে দিলে তিতা লাগে, সব মাছ পইচা এই অবস্থা।",Epizootic Ulcerative Syndrome
ক্ষতস্থানটা এমনভাবে পচে যে ঐটার আশেপাশে অন্য কোনো ভালো মাছও আর ঘেঁষে না।,Epizootic Ulcerative Syndrome
"ফুলকাগুলার জায়গায় খালি মাংসপিণ্ড দেখা যায়, মাছটা বাঁচার লাইগা ছটফট করতাছে।",Gill Rot
"এই রোগটা যদি খালি বড় মাছের হইতো, কিন্তু পোনাগুলারও দেখি পাখনা থাকতিসে না।",Fin and Tail Rot
"যে মাছগুলার লেজ নাই, সেগুলা আর অন্য মাছের সাথে খেলাও করে না, খালি লুকাইয়া থাকে।",Fin and Tail Rot
এই মাছের ছেঁড়া লেজ দেখতে দেখতে আমার আর বাঁচারই ইচ্ছা করে না।,Fin and Tail Rot
এই মাছ খাইলে কি মানুষেরও অসুখ হইব? ভয়ে আর কেউ মাছ ধরতেও চায় না।,White Spot Disease
"লেজের দিকটা একদম লালচে হয়ে গেছে, মাছটা আর নড়ছে না। ফিনে ও পেটের নিচে পোকা লেপ্টে আছে।",Argulosis
"মাছের নিঃশ্বাসে কোনো তাল নাই, একবার জোরে টানে আবার অনেক্ষণ চুপ কইরে থাকে।",Gill Rot
"এই মাছটাকে ধরলেই বোঝা যায়, পেটের ভিতরে শুধু পানি জমে আছে।",Dropsy
এই সাদা ফোঁটাগুলা প্রথমে পিঠে দেখা দেয়। পরে আস্তে আস্তে পুরা শরীরে ছড়াইয়া পড়ে।,White Spot Disease
"পুকুরের পানি শোধন কইরাও লাভ হইলো না। মাছের গায়ের লাল দাগ তো কমেই না, বরংচ বাড়ে।",Red Spot Disease
"মাছের ঘায়ের উপরে মাছি বইসা ডিম পাড়তেসে, অবস্থা এতই খারাপ।",Epizootic Ulcerative Syndrome
মাছের ফুলকাগুলার রঙ বদলাইয়া সাদাটে হইয়া গেছে। কানকোর কিনারে কিনারে রক্ত জমতে শুরু করছে।,Hemorrhagic Septicemia
এই মাছগুলার পেটের ভিতরে কলিজাটা ফুইলা এমন হইছে যে অন্য সব কিছু চাইপা ধরছে। মাছ কাইটলেই রোগটা পরিষ্কার বোঝা যায়।,Streptococcosis
"মাছের শ্বাস নিতে কষ্ট হইতাছে, তাই আজকা সারাদিন পানির স্রোতের মুখে মুখ কইরা রাখছে।",Gill Rot
"এই মাছের আর চিকিৎসা নাই, যেটার পেট ফুলছে হেইডা মরবই।",Dropsy
"মাছটার গা থাইকা জেলির মতো কিছু পড়তেছে। গর্তের মধ্যে পোকা দেখা যায়, পাতলা ফিনের নিচে।",Argulosis
পাবদা মাছের চোখ ফুইলা এমন হইছে যে আর সোজা সাঁতরাইতে পারে না। খালি পানির তলে গিয়া কাইত হইয়া থাকে।,Pop Eye
"মানুষ বলাবলি করতেসে, এই পুকুরের মাছে নাকি ঘা হইসে, তাই কেউ আর মাছও কিনতে চায় না।",Epizootic Ulcerative Syndrome
"মোগো মাছের কান দিয়া রক্ত পড়ে, আর ফুলকা পচা।",Gill Rot
মাছগুলার ফুলকার ভিতরে ছোট ছোট রক্তের ফোঁটা দেখা যায়। এই কারণেই মাছগুলা ঠিকমতো শ্বাস নিতে পারে না।,Streptococcosis
"আমার পাবদা মাছগুলার শরীরটা কেমন জানি নীলচে হইয়া গেছে, আর কিছুই মুখে তোলে না। খালি পুকুরের এক কোণায় গিয়া ঝিমায়।",Streptococcosis
মোগো ঘেরের তেলাপিয়াগুলার গায়ে লাল ফুসকুড়ি উঠছে। মাছগুলা সব মইরা ভাইসা উঠতাছে।,Hemorrhagic Septicemia
"চোখ দুইডা যেন কপাল থাইকা বাইর হইয়া আসতে চায়, দেখতেই মায়া লাগে।",Dropsy
"এই মাছগুলারে আর খাবার দিয়া লাভ নাই, কানকো দিয়া তো শ্বাসই নিতে পারে না, খাইবে কি।",Gill Rot
"গালর ভিতরে ঘা অইগেছে, আর রক্তও বারয়।",Gill Rot
"এই মাছগুলার তো কোনো স্বাদই নাই, খাইতে গেলে কেমন জানি লাগে। রোগের কারণে মাছের মাংস নষ্ট হইয়া গেছে।",Myxoboliasis
"মাছগুলার গায়ের রঙটা কেমন জানি ছাইয়ের মতো হইয়া গেছে, আর চোখ দুইটা ফুইলা আছে। এই মাছ আর বাজারে বেচার মতো নাই।",Streptococcosis
এই চোখ ফোলা রোগটা কি খালি বড় মাছেই হয়? পোনা মাছের তো দেখি না।,Pop Eye
এই সাদা দাগগুলা রাইতের বেলা বেশি চকচক করে। মনে হয় যেন মাছের গায়ে কেউ জোনাকি বসাইয়া দিছে।,White Spot Disease
চোখ ফুইলা মাছটা আর দিকবিদিক পায় না। খালি পাথরের সাথে বাড়ি খায়।,Pop Eye
মাছের লেজটা এমন ভাবে খসে পড়ছে যে পিছনের দিকটা একদম সমান হয়া গ্যাছে।,Fin and Tail Rot
"লেজের দিকটা শুকনা, আর পিঠে একটা উকুন বসা।",Argulosis
