comments,labels
Robi কক্সবাজার রবি কাস্টমার কেয়ারে ভি আই পি সিম পাওয়া যাবে?,Internet Package Issue
এই আফার টা আমি পাবো আজকে এইমাএ? ৮০ টাকায় ৮ জিবি ৩০ দিন,Internet Package Issue
রবিতে নতুন সিমের অফার দেখবো কীভাবে,Internet Package Issue
বিনা কলরেটে ১সেকেন্ডে কাটছে মাত্র ৩৯ পয়সা,Promotional
আমার তো নেটওয়ার্ক পাইনা,Network Issue
কিভাবে অটোমেটিক আসলো আমি কোন ডায়াল করি নাই অথচ অটোমেটিক টাকা কেটে নিয়ে গেছে,Promotional
"৪জিবি ২০মি, ৩০দিন মাত্র ৳৩০! শুধুমাত্র *২৪১৯১*১৫০১# ডায়ালে(১বার)",Internet Package Issue
আপনাদের রিটেইলার অ্যাপ আপডেট করুন। আমরা রিটেইলার dso থেকে কত টাকা নিলাম তার কোনো সঠিক তথ্য পাই না। যেটা কিনা অন্য সব রিটেইলার অ্যাপসে আছে।,Promotional
প্যাকটি কিনতে আপনাকে আর কিছু টাকা বেশি থাকতে হবে তাই আপনি নিতে পারছেন না। … See more,Promotional
৮৯ টাকা টাকা রিচার্জে ৫ জিবি ইন্টারনেট ৩ দিন মেয়াদ.. আবার চাই চাই চাই..,Network Issue
"ভাই এখন কি আপনাদের জি স্টোর নামক *৮৪৪৪# বা *৯# অপশন আছে নাকি,, অনেক চেষ্টা করে পাচ্ছি না অফার লিস্ট",Internet Package Issue
বন্ধ সিম চালু করলে রিচার্জ হচ্ছেনা কেন? রিচার্জ করব কিভাবে?,Promotional
কাষ্টমার কেয়ারে অন্য নাম্বার থেকে কথা বলবো কিভাবে?,Availability
অন্য অপারেটর হতে রবির কাস্টমার কেয়ারে কল করার নাম্বারটা দেন,Internet Package Issue
১২ টাকায় ২ জিবি- ৭দিন। ২৮ই-মের মধ্যে ১বার কিনতে ডায়াল করুন *২১২*২# … See more,Internet Package Issue
"আপনাকে জানিয়ে রাখছি, বর্তমানে আপনি ১০ টাকায় মিনিট স্ক্র্যাচ কার্ড পাচ্ছেন। যাতে পাচ্ছেন ১৬ মিনিট টকটাইম যে কোন অপারেটর নম্বরে যার মেয়াদ থাকবে ২৪ ঘণ্টা। সাথে পাচ্ছেন ১০ সেকেন্ড পাল্‌স সুবিধা।… See more",Promotional
"আমার রবি সিম এ প্রচুর এম বি থাকা সত্বেও নেট অন হচ্ছে না আজ ২দিন যাবৎ। অগুনিত বার ফোন রিস্টার্ট দিয়েছি,সিম অল্টারনেট করেছি তবুও হচ্ছে না।",Network Issue
২৩ টাকা আনলিমিটেড ডাটা ১ঘন্টা পর কাজ না করার কারণ কি?,Internet Package Issue
রবির সর্বনিম্ন কলরেট কোন প্যাকেজে কত টাকা রিচার্জে?,Promotional
"সিমটি চালু করলেই আপনি পরবর্তী ৫ মাসে, প্রতি মাসে মিনিমাম ১০০ টাকা ব্যবহার করে পাবেন ২ জিবি ফ্রি ডাটা। এছাড়াও, তার পরবর্তী ৬ মাসের জন্যও পাচ্ছেন ১ জিবি ফ্রি ডাটা যদি প্রতি মাসে আপনার মিনিমাম ব্যবহার ৫০ টাকা হয়ে থাকে। দারুন সব অফারগুল… See more",Internet Package Issue
আমি রবি সিম থেকে কিভাবে এয়ারটেল সিমের সকল অফার পেতে পারি?,Internet Package Issue
৮ জিবি কিনার পর,Internet Package Issue
বিঞ্জ ডেটা প্যাক টি দিয়ে আপনি শুধুমাত্র বিঞ্জ অ্যাপ টি ব্যবহার করতে পারবেন।… See more,Internet Package Issue
গ্রাম এলাকায় নেটওয়ার্ক এর অবস্থা খুব একটা ভালো নয়।,Network Issue
১৮ টাকাই recharge ১০০ mb কেনো দিছেন।যে খানে ১০ টাকাই ২০০ এমবি card পাওয়া যাই।।আমার ১৮ টাকা balance ফিরত চাই,Promotional
বন্দ সিমে কি অফার আছে?,Internet Package Issue
"449 টাকায় ২০GB দিবি, দিছোস ১১GB, কল সেন্টারে কল দিছি বল্লো ৩০ মিনিট লাগবে বাকি ডাটা এড হইতে, কিন্তু কেনো? ৩০ মিনিট তোগো কেন লাগবে?",Internet Package Issue
টাকা নিলেন ঠিক ই অথচ ডাটা কম দিলেন ২০ জিবি। এইটা কোন ধরনের কাজ আপনাদের,Internet Package Issue
রবিতে E-sim এর কোনও অফার আছে কি! আর থাকলে সে গুলো কিকি জানাবেন!,Internet Package Issue
আমার মিনিট অফার জানবো কিভাবে?,Internet Package Issue
এই প্যাকটি দিয়ে আপনি শুধু মাত্র Binge অ্যাপটি চালাতে পারবেন।… See more,Internet Package Issue
৯০ টাকায় ১০ জিবি মাই আফারে আফারে এইটা নেওয়া কোড কত?,Internet Package Issue
"রবি সীম রেজিস্ট্রেশন করলাম ,,,একটুও নেট ওয়ার্ক পায় না আমাদের এখানে",Network Issue
"রবি সিম কোম্পানি পুরা ফটাফট,, রবি সিম বন্ধ করে দিব",Promotional
কমপক্ষে কত টাকার শপিং এ ৩০০ টাকা ডিসকাউন্ট??,Promotional
"আপনি যত টাকা রিচার্জ করতে চান, সেই পরিমান টাকার অফার যদি মাই রবি অ্যাপ এ দেখতে না পান, এসএমএস না পান অথবা… See more",Internet Package Issue
প্রিপেইড এবং পোষ্টপেইড এর ক্ষেত্রে এখন ৫ টাকার (সম্পূরক শুল্ক + সম্পূরক শুল্কসহ মোট মূল্যের উপর ভ্যাট + সারচার্জ প্রযোজ্য হবে) Pay Per Use ইন্টারনেট ব্যবহার করার পর আপনার ইন্টারনেট সংযোগ বন্ধ হয়ে যাবে অতিরিক্ত চার্জ এড়িয়ে যাবার জ… See more,Network Issue
সিমের মালিকানা কিভাবে পরিবর্তন করা যাবে?,Availability
"রবি সিমে এমবি নেট না থাকলে টাকা কাটবে না,এই অপশন টা কিভাবে চালু করবো?",Network Issue
"এখন সাশ্রয়ী রেটে কথা বলতে রবি নিয়ে এলো একটি আকর্ষণীয় অফার। রবি প্রি-পেইড গ্রাহকগণ ৩৯ অথবা ১০৯ টাকা রিচার্জে পাচ্ছেন দেশের সেরা কলরেট, যেকোন অপারেটর নম্বরে ২৪ ঘন্টা ৯৬ পয়সা/মিনিট (১০ সেকেন্ড পালস) কল রেটে কথা বলার সুযোগ।… See more",Internet Package Issue
গ্রামীন ফোনের নাম্বার দেখে Robi নিয়ে আসা যাওয়ার কোন সিস্টেম আছে আর থাকলে কত টাকা খরচ হবে একটু প্লিজ বলবেন,Availability
"অফারটি কোড ডায়াল এর মাধ্যমে গ্রহণ করতে হতো, উল্লেখ করা আছে শুধু মাত্র কোড ডায়ালে প্রযোজ্য। … See more",Internet Package Issue
বর্তমানে ইমু এবং ফেসবুক প্যাক একসাথে নাই?,Internet Package Issue
এমবি টাকি আছে অ্যাপএ দেখাচ্ছে 01815491735,Promotional
amr phone ar offer জানবো কেমনে?,Internet Package Issue
এই নাম্বারে ডাটা চালু করলে টাকা কাটা ppu একটু বন্ধ করে দেন,Internet Package Issue
১৬৪ টাকায় ১০ জিবি ৭দিন এটা কি অল এমবি?,Internet Package Issue
সিম ৩জি থেকে ৪জি করতে কি কি ডকুমেন্ট আর কত টাকা লাগবে??,3g/4g Issue
পুরো বন্ধ করার উপায় নাই।,Promotional
"রবি সীমটা কিছু দিন খুলে রেখেছিলাম, এখন মোবাইলে উঠানোর পর আর কাজ করছে না!",Promotional
রবি নতুন সিমের অফার কি আছে কত টাকা রিচার্জে কতো জিবি,Internet Package Issue
দুইটা মিনিট অফার কেনা থাকলেও স্বাভাবিকভাবে কাস্টমার চাইবে যেটার মেয়াদ আগে শেষ হবে যেন সেটা থেকে মিনিট আগে কাটা হয় কথা বললে।বা ইন্টারনেট এর মত কোন অফার চালু রাখবে সে সুযোগ রাখতে হবে।কিন্তু আপনারা যে অফার পরে শেষ হবে সেটার মিনিট আগে … See more,Network Issue
আমার উপবৃত্তির টাকা টা আর হয় তো কখনো তুলতে পারব না রবি সিম এ বিকাশ ছিল সিম টি অন্য কারো নামে রেজিষ্ট্রেশন হয় তো,Promotional
আপনার মেইন ব্যালেন্সে টাকা যোগ হবে না।,Promotional
আজ রবি-তে ১৮জিবি-৪০০মি-৩০দিন মাত্র ৳৩৪৮ শুধুমাত্র *123*348*1# ডায়ালে,Internet Package Issue
তুদের নেটওয়ার্ক ও কি কয়লা দিয়ে তৈরি হয়..?,Network Issue
এই অফার টা আগে কিভাবে ব্যবহার করবো??,Internet Package Issue
"এখন কী সিম টি আমার নামে করা যাবে,,,?",Promotional
কাস্টমার ম্যানেজারের সাথে কথা বলবো কিভাবে?,Internet Package Issue
unable to provision pack এটা আসার কারন কি,Internet Package Issue
"ভাইরে আমি ব্যালেন্সের জন্য কোড ডায়াল করসি,আর আমাকে মিনিট লোন দেওয়া হইসে।কেন??",Promotional
রবির আনলিমিটেড ইন্টারনেট অফার কোনটার দাম কত??? ১ বছর বা ২ বছর মেয়াদ হলেও হবে।,Network Issue
রবি কাস্টমার কেয়ার এজেন্ট এর সাথে কথা বলার কোন সুযোগ পাচ্ছি না।,Internet Package Issue
ফেমিলি পেক কিনলাম।কিছু দিন ইউস করছি।আজ ২ দিন যাবত মিনিট এর বেলেন্স দেখায়।কিন্তু ইউস করতে পারছিনা। এটা কেন হল।,Promotional
"হ্যালো,, আপনারা সিমে যে অফার দেন তা কিনলে আসে না কেনো",Internet Package Issue
আমার এমবি আছে কিন্তু ইন্টারনেট ছলে আসথে আসথে। এখন কী করবো নাকী সিম পরিবর্তন করে পেলবো। এইকয়েক দিন বেশি স্লো হয়ে গেছে,Network Issue
"বিটিআরসি নির্দেশনা অনুযায়ী আপনার প্যাকের মেয়াদ থাকা অবস্থায় একই ভলিউম-এর যেকোনো প্যাক কিনলে আগের প্যাকের অব্যবহৃত অংশ ক্যারি ফরওয়ার্ড হবে। তবে আপনাকে জানিয়ে রাখছি, বান্ডেল প্যাক এর ক্ষেত্রে শুধু মাত্র ডাটা ক্যারি ফরওয়ার্ড হবে মিনিট… See more",Internet Package Issue
20-30 টাকার ভেতর ৩০ দিন মেয়াদি কোনো ডাটা প্যাক আছে কি?,Internet Package Issue
আমার একাউন্টে ২০০ টাকা ব্যালেন্স আছে কিন্তু আমি সেটা দিয়ে কোন প্যাক কিনতে পারতেছি না। শা/লা/র পু/তে/রা ভিতরে সিস্টেম করে রাখছে যতবারই প্যাক কিনতে যাই অ্যাপস দিয়ে আমাকে বলে আবার টাকা রিচার্জ করতে হবে। একাউন্ট ব্যালেন্স দিয়ে কেন আমি প্যাক কিনতে পারবো না।,Promotional
এই অফারটি সম্বন্ধে জানতে চাই,Internet Package Issue
এই মুহুর্তে রবি সিমে পোস্টপেইড থেকে প্রিপেইডে মাইগ্রেশন করার কোনো সিস্টেম চালু নেই। এ ব্যাপারে আপডেট জানতে চোখ রাখুন রবি পেইজ এ।… See more,Availability
আপনি লিংক ব্যবহার না করেও উক্ত নির্দেশনা ফলো করে FNF প্যাকেজে মাইগ্রেট করতে পারবেন.… See more,Internet Package Issue
রবি থেকে রবি সিমে ব্যালেন্স ট্রান্সফার করার কি কোন উপায় আছে,Promotional
৪২ টাকার অফার আছে বলেছেন তাও রিচার্জ হচ্ছে না। … See more,Internet Package Issue
আসসালামু আলাইকুম আমার রবি সিমে ইন্টারনেট শেষ হয়ে যাওয়ার পরও ইন্টারনেট অফ হয় না.,Network Issue
মাই রবি অ্যাপ থেকে মাই অফার অপশনে ক্লিক করে জেনে নিতে পারবেন আপনার নম্বরের জন্য নির্ধারিত অফার এবং স… See more,Internet Package Issue
আর বার বার Sign in to network দেখাচ্ছে,Network Issue
আমি জানতে চাই এক পাসপোর্ট দিয়ে কয়টা সিম রোমিং করা যায়? আর একবার রোমিং করলে কি সেটা যে কোনো সময় ব্যবহার করা যাবে?,Promotional
আমি শুনছি শুধু nid card হলে ই নাকি সিম রেজিষ্ট্রেশন করা যায়? টাকা একটু বেশি দিলে। আপনি সিউর হয়ে বলেন আমি চিন্তায় আছি সে যদি আমার আইডি দিয়ে ক্রাইম করে,Promotional
ঘরের ভিতরে ফোরজি নেটওয়ার্ক থাকে না কুমিল্লা তে,Network Issue
এখন রবি দিচ্ছে মেগা এফএনএফ প্রিপেইড প্যাকেজ। … See more,Internet Package Issue
রবি সিম 4G কীভাবে করব?,3g/4g Issue
আপনার বাংলাদেশে অফিসিয়াল ৫০% ফোনেও এখনো volte সাপোর্ট দিতে পারেন নাই।,Internet Package Issue
Robi 4G Handset 1 GB Free offer টি পেতে কত ডায়াল করতে হবে?,Internet Package Issue
দুইদিন যাবত মাইরবি লগিন করতে পারতেছি না ওটিপি নাম্বার আসতেছে না ভাবতেছি রবি সিম খুইলা ফালাইয়া দিমু,Availability
40 gp + 900 minut জন্য রিচার্জ করি। কিন্তু … See more,Promotional
01846183100 নম্বরে ১৯৭ টাকার বান্ডিল কেনা হয়েছে। কিন্তু শুধুমাত্র ১ জিবি ২০ মিনিট আসছে অবশিষ্ট জিবি ও মিনিট কখন পাব।,Internet Package Issue
আমার সিম এর কানেকশন আসে কিন্তু নেটওয়ার্ক আসে না। Network not registered লিখা আসে।,Network Issue
এই ডেটা প্যাকটা কিছুক্ষণ ব্যবহার করা যায় আবার কিছুক্ষণ ব্যবহার করা যাচ্ছেনা। বেশীরভাগ সময়ই ব্যবহার করা যায়না।,Internet Package Issue
"ব্যালেন্স ট্রান্সফারের সার্ভিস চার্জ ২.৬৭ টাকা (এসডি,ভ্যাট এবং সারচার্জ সহ) এসএমএস চার্জ সার্ভিস প্রদানকারী এবং গ্রহণকারী ২ জনের ক্ষেত্রেই প্রযোজ্য হবে। এছাড়াও ব্যালেন্স প্রদানকারী এর অ্যাকাউন্ট এ ২.৫০ টাকা থাকতে হবে পুরো প্রসেসটি কমপ্লিট ক… See more",Promotional
"নতুন রবি প্রিপেইড সিম নিয়েছি,,",Promotional
আমি একটা সিম এর নম্বর বানিয়ে নিতে চাই।,Promotional
মৃত বাবার রেজিষ্ট্রেশন কৃত সিম কিভাবে তুলবো.?,Promotional
Robi সমস্যাটি হলো আমার নতুন সিমে মাসে ১৫দিন পর পর ২৩ টাকা রিচার্জে ৩ জিবি দেওয়া হয় কিন্তু আজ আমাকে তা দেওয়া হয় নি।,Internet Package Issue
আপনাদের কাছে সরাসরি কথা বলার অফিসিয়াল নাম্বার দিন।কোনো কম্পেলেইন করলে তার কোনো সমাধান দিতে পারেন না আপনারা কেন?????,Internet Package Issue
পোষ্টপেইড সিমের কলরেট চেক করবো কিভাবে?,Promotional
আমার সিম হারিয়ে গেছে নাম্বার মনে নেই সেই নাম্বারটি কি ভাবে জানতে পারবো,Availability
রবি বন্ধ সিমের কি কি অফার আছে?,Internet Package Issue
আমি মানুষের সাথে ভালো ব্যবহার করতে পারলেও গ্রামীণ ফোনের সাথে করতে পারি না...বিরক্তিকর একটা নেটওয়ার্ক.... বলে সারা বাংলাদেশ এ ৪জি কভারেজ অথচ গ্রামের বাড়ি সিমে নেটওয়ার্ক নাই,Network Issue
"আগের মতো সাপোর্ট পাই না-""",Availability
"আম আবেগ, আম ভালোবাসা সব ঠিক আছে। কিন্তু আপনারা কি জানেন যখন কাজের সময় নেটওয়ার্ক পাওয়া যায় না, জরুরী কলের সময় কল ড্রপ করে তখন এই আমের আবেগ আর আমের ভালোবাসা কই যায়?",Network Issue
এসব কাহিনি বাদ দিয়ে গ্রামীনফোনের মেগাবাইট এর দাম কমান আগে।।,Promotional
বালের নেটওয়ার্ক। ইমেল করলে ও সমাধান পাওয়া যায়।আবার এ্যাড দেয়,Network Issue
মিরপুর কোথায় থেকে পাব?,Promotional
"নেট সমস্যা নিয়ে ৫ বার অভিযোগ করেছি, কোন লাভ হচ্ছে না।",Network Issue
আপনারা কি গ্রাহক হিসেব করে নেটওয়ার্ক সাপ্লাই দেন?,Network Issue
নেট সোল কেন,3g/4g Issue
ডাটা শেষ। ইন্টারনেট অফ হয়ে যাবে। কিন্তু মূল ব্যালান্স থেকে কেন টাকা কেটে নিলেন? মাত্র ১ মিনিটের ব্যবধানে ৯টাকা কেটে নিলেন। অথচ টেলিটকে ডাটা শেষ হলে নেট অফ হয়ে যায়। মূল ব্যালান্স থেকে টা… See more,Mobile Financial Service Issue
আপনাদের নেটওয়ার্ক খুব বাজেট ইন্টারনেট চলে না,Network Issue
আন্নেগো নেট দুর্বল,Network Issue
সব কিছু ঠিক আছে কিন্তু অফারের দামটা যদি একটু কম হতো। অফারের দাম অনেক বেশি বারানো হয়েছে।,Availability
আমার 01711 সিম কার্ড তো খাসি করাই এয়ারটেল এ গেছি আপনাদের নেটওয়ার্ক সমস্যার কারণে,Network Issue
"কয়দিন আগেও ২৭০ টাকা দিয়ে ২৫জিবি এমবি নিছি আর এখন ৩৪০ টাকা করে ফেলছে,,,,,,, মনটাই চায় ধইরা থাপরাই",Availability
মাদার**চোত সিম ২০ টাকা রিচার্জ করলাম এখনো টাকা আসলো না। বিকাশ থেকে আবার টাকা ঠিকই কেটে নিছে।,Mobile Financial Service Issue
Grameenphone সাথেই তো থাকতে চাই। কিন্তু নেটওয়ার্ক ঠিক করে দিচ্ছেন না। কখন ঠিক তাও বলছেন না।,Network Issue
01711........ শুধু সিম কতো টাকা,Promotional
ইন্টারনেট স্লো..,3g/4g Issue
ভোলা থেকে বলছিঃ ঘরে একটু হারাম নেটওয়ার্ক ও পাওয়া যায় না GP তে।,Network Issue
গুলশান অফিস থেকে কি এই সিম পাওয়া যাবে?,Promotional
গ্রামীন সিমে 100 টাকা রিচার্জ করলে কি পাবো ?,Promotional
আমার ঘরে কোন সিমে নেটওয়ার্ক পায়না gp তে একটু পাই তাও কথা বলা যায়না বললেই হয়। কথা বলা বাদ দিলাম তার পর শুরু করালাম এসএমএস প্রথমে আনুমানিক ২টাকায় ৩০০ আর ৩ টাকায় ৫০০ এসএমএস। পরে বাড়িয়ে ১২ টাকায় ৩০০ আর ১৯ টাকায় ৫০০ তমন কিছু সমষ্যা ছিল না কারণ ২০ টাকা করেই … See more,Network Issue
আপনাদের নেটের প্রাইস এতই কম যে সময় সময় কিছু অফার দেখে মনে হয় বাপ দাদার জমি বিক্সি করে এসে নেট কিনি সালা ঠাড়া কে এই কোম্পানির উপরে পড়ে না।,Internet Package Issue
নেটওয়ার্ক নেই আবার ভাব কত,Network Issue
Grameenphone আগের মতো সারভিস দিতে পারে না তারপর আরও অনেক টাকা বেশি কাটে আশা করি এগুলোর জবাব দিবেন,Promotional
"আগে নেটওর্য়াক ঠিক করার দিকে মন দিন, তারপর মনের সুখে আম খাবান।।",Network Issue
কারেন্ট না থাকলে আর নেটওয়ার্ক পাওয়া যায় না।,Network Issue
মাই জিপিতে ৫০০ মেসেজ ৬৮ টাকা। বালের কোম্পানী আপনারা। বয়কট গ্রামীন,Promotional
1 মিনিট 2 টাকা ডাকাতি ছাড়া আর কি,Availability
ইন্টারনেট এর অফার দেন কম টাকায় এটা 100 টাকার 100 জিবি চাই 1 বছর আমার দাবি মানতে হবে 5 জি নেটওয়ার্ক বলছি,Promotional
"সব বন্ধ করেন ভাই আপনারা আমি আমার বাড়ির বাথরুমেও নেটওয়ার্ক পাই না , লোকেশন সাতক্ষীরা নলতা",Network Issue
বেয়াদবের বাচ্চারা তোদের সিমের কলরেট সবচেয়ে বেশি আর নেট স্পিড নবডঙ্কা,3g/4g Issue
২০টাকার এসএমএস করছে ৭৫ টাকা কুত্তার বাচ্চার,Availability
"সকল মানুষের জন্য করতে হবে, কলরেট কমাতে হবে।",Availability
আমি কিভাবে এমবির আটো রিনিওয়াল বন্ধ করব?,Promotional
"দেশের এক নাম্বার নেটওয়ার্ক গ্রামীন, সারাদিন নেট তাকে না, সিলেটের দুঃখ গ্রামীন সিম, চলচ্চিত্রের দুঃখ জায়েদ খান,রাজনীতির দুঃখ হিরো আলম",Network Issue
আপনাদের নেটওয়ার্ক সার্ভিস ভালো হচ্ছে না আমাদের এলাকায়,Network Issue
আমার একটা সিম হঠাৎ করে কেনো ফোনে লাইনে পাচ্ছে না,Availability
আজকাল ঈদ উপলক্ষে কোন অফারই দেওয়া হয়না।,Promotional
২ জি নেটওর্য়াক হলো জিপি,3g/4g Issue
প্রচুর পরিমানে নেটওয়ার্ক সমস্যা,Network Issue
"এ্যাড ভালো বাট এদের সিস্টেম মাঝে মধ্যে এত কস্ট দায় যা বলার কথা না,এত পরিমাণ টাকা কাটে,এমন হয়েছে ৩০ টাকায় ৫০০ এসএমএস এখন দাম হলো ৮৬ টাকা মাঝে মধ্যে ৪ টাকা+ মিনিট কথা বলায় টাকা কাটে,আবর এসব বিষয় নিয়ে কথা বলতে গেলে,লাইন পাওয়া যায় না,আর ২০ টাকা চলে যায়",Availability
এতো বেশি টাকা লোন দেন কেনো এই জন্য রিচার্জ করতে ভালোলাগে না,Mobile Financial Service Issue
"আমাদের গ্রামে তো ঠিকমতো নেটওয়ার্ক ই পায় না। আমি কত বার অভিযোগ করেছিলাম, তারপরও কোন সমাধান হলো না। প্রত্যন্তঅঞ্চলে নয় গ্রাম, তারপরেও জিপির নেটওয়ার্ক পায় না।",Network Issue
"ওরে আমার নিরবিচ্ছিন্ন নেটওয়ার্ক রে। এগিয়ে যান আরো সামনে এখন তো অকারনে সিমের টাকা/এমবি/এসএমএস কেটে শান্তি হয়না। পরবর্তীতে বাড়ি, জমিও যেন এই শক্তিশালী নেটওয়ার্ক দিয়ে আত্নসাৎ করতে পারেন। রাঘব বোয়াল থেকে তো কম না আপনারা। কলরেটের কথা আর না বলি মেয়ের বাড়ি থে… See more",Mobile Financial Service Issue
আমার একটা গ্রামীণ সিম বন্ধ ছিলো। এখন চালু করেছি কিন্তুু ব্যালেন্সের মেয়াদ আসছেনা। বিকাশ থেকে 20 টাকা রিচার্জ করেছি তাও ব্যালেন্স আসছেনা কি করতে হবে?,Mobile Financial Service Issue
টাকা কোথায় গেল?,Mobile Financial Service Issue
"অাপনাদের ইন্টারনেট, মিনিট এই প্যাকগুলোর দাম অবিরত বারতেই আছে।",Availability
কল রেট বাড়াইছোস,Availability
২/৩ শ টাকার মধ্যে কোড ডায়াল করে ১মাসের এমবি অফার কত আছে?,Promotional
Grameenphone 01748953587 এ নম্বার টা 5 মাস যাবত বন্ধো থাকার পর অন করা হয়েছে কিন্তু এক্টিভ বা রিচার্জ করা যাচ্চে না এখন করনিও কি,Mobile Financial Service Issue
ধুর মিয়া ঘরে ঢুকলে আর নেটওয়ার্ক থাকে না পুরা সিম বন্ধ,Network Issue
আমার বাসায় তো No service দেখায় আর এখানে ওখানে টাওয়ার বসানোর ছবি দিয়ে কি লাভ?,Network Issue
"জিপি সিমে, এমবির মুল্য অন্যান্য যে কোনো অপারেটর থেকে এতো বেশি কেন নেওয়া হচ্ছে???",Availability
গ্রামীণফোন সিম রিপ্লেস চার্জ কতো?,Promotional
এতো ভালোবাসা আছে জন্যই এসএমএস এর দাম এতো বাড়ছে...,Availability
আইজ কতো দিন তাকিয়া বালা অফার দের না জানে কর ধরিয়া সহবাস করি দিতাম,Promotional
এস এম এস এর দাম বাড়াই দিয়া খুব ছিড়ে ফেলছেন আর কি ছিড়বেন?,Availability
বিজ্ঞাপন তো ভালো তবে আপনাদের সার্ভিস তো ভালো না 10 টাকার এমবি ২০ টাকা দিয়া কিনতে হয় ১০ টাকার মিনিট ২০ টাকা দেয় কিনতে হয় এক টাকার মিনিট তিন টাকা করে কেটে নেন ভালো না খুব ভালো,Availability
আপনারা আফার দিলেন 17টাকাই 2জিপি কেনার পর আসল 1200 এমবি বাকি 800 এমবি গেছে কই,Mobile Financial Service Issue
এদিকে বাড়ির চারপাশে ২ কিলোর মধ্যে ১০ টা টাওয়ার থাকার পর ও h+,Network Issue
আমাদের এলাকায় কথাও বলা যায়না ঠিক মতো,Network Issue
"এমবি এর দাম বাড়িয়ে, আম বিক্রি শুরু করছে।",Availability
MB রেট বেশি,Availability
"বালের নেটওয়ার্ক গত ৪মাস দরে কুত কুত খেলে নেটওয়ার্কে আবাল চোদা,,",Network Issue
এলাকায় নেটওয়ার্ক পাই না তারা নাকি number 1..,Network Issue
"আমার প্রতি মিনিটে কথায় ২.৮৮পয়সা নিয়ে যায়,,",Availability
এটা কিনেছি টাকাও কেটে নিয়েছেন অথচ MB দেখাচ্ছে ০????,Mobile Financial Service Issue
গ্রামীণ সিমের নেট ভালো তবে এমবি ও মিনিটের দাম অনেক।,Availability
দিন দিন এমবির দাম বাডে,Availability
পয়সা দিয়ে সার্ভিস নিচ্ছি।,Availability
গ্রামীণ ফোন হইলো সোদানির ফোয়া! না থাকে এখন ঠিকমতো নেটওয়ার্ক আর ডাটার দাম স্বর্নের চেয়ে ও বেসি,Network Issue
আমি স্টুডেন্ট মানুষ আমার প্রয়োজন অল্প টাকায় অল্প এমবি তবে বেশিদিন এরকম কোন অফার পেতে পারি?,Promotional
"গা***জা খোরি কথা বলেন মিয়া ৩ -৪ দিন থেকে নেটওয়ার্কের যে অবস্থা মানুষ গ্রামীন সিম ফেলে দিতেছে,, এতো দুর্নীতি ঠিক না মিয়া",Network Issue
নারিকেল গাছে উঠেও নেটওয়ার্ক না পাওয়া গামিণ ফোন।,Network Issue
ভাই এখন কি আর ৯ টাকায় ১ জিবি দেন না?,Promotional
মাই জি পি তে ২০০ টাকা রিচার্জ করেছি। ২০ টাকা কেশ বেক পাইনি। নং ০১৭১৭০৬০৭২২ ।,Mobile Financial Service Issue
"অন্যান্য সিমে তুলনায় আপনাদের ইন্টারনেটের দাম বেশি বলতে গেলে সব কিছুরই আপনাদের দাম বেশি,",Availability
দাম ঠিক বারে কিন্তু নেটওয়ার্ক ভালো হয় না কেন...??,Network Issue
তওোরারমারেসৌদি সীতাকুন্ডেই নো সার্ভিস দেখায়,Network Issue
এসএমএস প্যাক গুলোর দাম কি কমাবেন না আপনারা ?,Availability
"২ জিবি ৬৮, ১২ জিবি ১৬৯ এইগুলাকে অফার কয়?ফাজলামি ছাড়া কিছু না।",Availability
মিনিট ২.৫ টাকা এটা কেমন বিচার,Availability
"সব কিছু ঠিকঠাক, কিন্তু gp বলে চলো বহুদূর কিন্তু আমার ঘরের ভিতরে (E+) পায়",Network Issue
দুঃখের বিষয় আজও আমার ঘরে ইমারজেন্সি ছাড়া এর থেকে বেশি কিছু পায় না,Network Issue
আগে ৫০০ এসএমএস ছিল ২৯ টাকা। এখন করছেন ৫০০ এসএমএস ৮৬ টাকা। এটাই আপনাদের আবেগ।,Availability
"আমের সিজনের সময় কি নেটওয়ার্ক সমস্যা সমাধানের জন্য কাজ করেন,,তাহলে আমের সিজনই ভালো,,,",Network Issue
আমাদের ফ্যামিলিতে আমরা সবাই গ্রামীন সিম ইউজ করি অথচ আমাদের এলাকায় গ্রামীন টাওয়ার অনেক সমস্যা হয় এটা কি কিছু করা যায়,Network Issue
গ্রামীণফোন অনেক ভালো একটা নেটওয়ার্ক কিন্তু টাঙ্গাইল জেলা দেলদুয়ার থানা বল জান গ্রাম আমাদের গ্রামে নেট থাকে না বললেই চলে খুবই অসুবিধার মধ্যে আমরা সিমটি ব্যবহার করছি কর্তৃপক্ষকে বিষয়টি জানালে অনেক উপকৃত হব,Network Issue
দোন ডা আছো নেটওয়ার্ক এর অবস্থা খারা হালার পুতেরা,Network Issue
গ্রামীন সিমে কল রেট যে পরিমাণে বেশি সেটা গলার কাটা হয়ে দাঁড়াইছে।,Availability
"উত্তর বাকাল গবিন্দ মন্দির , আগৈলঝাড়া বরিশাল,, ওখানে নেটেওয়ার্ক মান ভালো না,, ভালো নেটেওয়ার্ক দেওয়ার জন্য অনুরোধ করা গেলো,, একটা টাওয়ার দিলে ভালো হয়",Network Issue
নেটওয়ার্ক থাকে না ভাই,Network Issue
বালের সিম।অর বাপের টাকা তো এই জন্ন 500মেছেচ 86টাকা।সব এইগুলো গান্জাখোর,Availability
